wdid,name,icrsra,icrsdec,spectype,teff,logg,Dpc,V,su
NLTT 1450,Gaia EDR3 2555215995900584448,00 27 36.92,05 41 58.90,DA,5539.28538,7.938186,21.68,16.15,17.547
NLTT 18922,Gaia EDR3 3145802036649641472,08 05 27.49,07 35 29.57,DA,5397.0,8.135,34.38,,19.21
NLTT 35504,Gaia EDR3 3727155340815968256,13 52 11.52,10 53 48.82,DA,6017.0,7.992,35.35,,17.92
NLTT 40234,Gaia EDR3 1273685372108354176,15 26 21.16,29 36 25.44,DA,5102.0,7.937,23.21,17.18,18.64
NLTT 42805,Gaia EDR3 1201036206454896000,16 26 26.14,19 38 42.75,DA,6096.25937,8.239195,27.57,,17.61
NLTT 42988,Gaia EDR3 1653044367185115264,16 28 38.60,70 53 14.39,DA,4847.62273,7.949628,32.71,,
NLTT 44063,Gaia EDR3 4444590625015876864,17 02 46.34,10 22 45.03,DA,5169.0,8.419,29.32,,19.81
NLTT 45288,Gaia EDR3 4581383928942599296,17 41 46.21,24 01 43.94,DA,6919.0,8.336,31.62,,17.278
NLTT 47551,Gaia EDR3 2140481412496465152,19 12 48.83,53 43 15.62,DA,17310.2825,8.298696,22.17,13.18,
NLTT 48779,Gaia EDR3 2237893023118101504,20 06 55.26,61 43 07.67,DA,5250.00412,7.344608,33.32,,18.16
NLTT 51908,Gaia EDR3 2701893698904233216,21 42 54.40,08 05 24.23,DA,4830.0,8.0,29.90,15.66,19.527
NLTT 52166,Gaia EDR3 2696628687474414208,21 49 13.63,04 15 46.83,DA,5106.0,7.316,35.10,,18.7
NLTT 57507,Gaia EDR3 2826254713186397440,23 38 56.63,21 01 21.12,DA,5216.0,7.992,39.42,,19.622
PG 0136+152,Gaia EDR3 2589304876450784128,01 38 56.84,15 27 40.84,DA,7843.62999,8.047631,22.68,14.94,15.43
PG 0945+246,Gaia EDR3 643183348419998336,09 48 46.56,24 21 24.15,DA+DAXP,19678.0,8.378,36.20,14.25,14.036
PG 1026+024,Gaia EDR3 3855631797052747136,10 29 09.70,02 05 52.48,DA,12236.0,7.982,33.60,14.2,14.581
PG 1106+083,Gaia EDR3 3818473629793533312,11 08 44.24,08 01 36.39,DA,7486.06474,7.976241,37.94,16.08,16.63681
PG 1157+004,Gaia EDR3 3891115064506627840,11 59 52.12,00 07 51.25,DA,8566.0,8.419,28.31,15.73,16.0
PG 1350-090,Gaia EDR3 3618657732410663808,13 53 15.92,-09 16 39.11,DAP,9458.0,7.86,19.71,14.55,
PG 1601+581,Gaia EDR3 1622697949337226112,16 02 41.95,57 58 16.16,DA,15002.0,7.967,32.36,14.3,14.41
PG 1632+177,Gaia EDR3 4466388790929771904,16 34 41.93,17 36 33.57,DAZ,10149.0,7.245,25.62,13.106,14.438
PG 1633+434,Gaia EDR3 1405343643196929536,16 35 01.76,43 17 31.52,DAZ,6498.0799,8.15077,14.49,14.834,15.642
PHL 3537,MCT 0136-2010,01 38 32.26,-19 54 43.99,DA,8471.0,8.64,24.0,,16.01
PM J09027+3120,Gaia EDR3 711744456827031680,09 02 42.57,31 20 43.36,DA,9814.72139,8.218341,33.88,14.75,15.62
PM J11480-4523,Gaia EDR3 5377849123945711872,11 48 02.44,-45 23 07.67,DA,6101.0,7.99,25.12,15.66,
PM J18073+0357,Gaia EDR3 4470233817461336704,18 07 23.38,03 56 59.77,DA,10247.0,8.079,30.17,15.08,15.359
PM J21077+0740,Gaia EDR3 1737167215848315264,21 07 45.03,07 40 42.48,DA,7106.15808,8.041492,38.36,15.91,17.062
PM J23243+2835,Gaia EDR3 2869130517001766400,23 24 18.82,28 35 52.71,DA,7231.0,8.009,39.10,15.96,16.979
RE J090217-040712,RE J090217-040712,09 02 17.30,-04 06 55.48,DA2.1,,,37.87,12.4,
